Taxonomy,colon02,colon03,colon04,colon05,colon06,colon07
Fastidiosipila sanguinis,1247,732,1308,1778,623,2277
Hungateiclostridium clariflavum,1396,957,2325,2142,702,2317
Hungateiclostridium saccincola,830,599,1543,1469,396,1461
Hungateiclostridium thermocellum,1450,845,2147,2891,793,2578
Mageeibacillus indolicus,2110,986,1705,5696,770,4634
Pseudoclostridium thermosuccinogenes,2046,1382,2920,4729,1031,3893
Ruminiclostridium cellulolyticum,1541,710,1782,1965,555,2097
Thermoclostridium stercorarium,1593,906,2138,2786,878,2219
Anaerobutyricum hallii,28115,12371,17933,10195,15936,19362
Anaerocolumna sp. CBA3638,3382,2618,9739,5136,1754,4950
Anaerostipes hadrus,62914,19259,14514,6458,14146,26123
Anaerostipes rhamnosivorans,2814,2341,5819,4186,1267,3686
Anaerotignum propionicum,2177,1608,8434,4129,1021,3482
Blautia producta,9388,7270,12929,8598,4214,9049
Blautia sp. N6H1-15,6057,5098,10442,6342,2652,6559
Blautia sp. SC05B48,39293,46048,18048,13165,27544,16020
Butyrivibrio fibrisolvens,9447,6657,25055,14766,4176,16893
Butyrivibrio hungatei,7740,5361,22888,13721,3983,14123
Butyrivibrio proteoclasticus,7733,5669,23377,13226,3936,14895
Cellulosilyticum sp. WCF-2,1228,955,3650,1400,798,2053
Enterocloster bolteae,6728,4529,10189,10193,2718,10511
Enterocloster clostridioformis,9211,4495,6794,7131,3317,8614
Herbinix luporum,2546,2057,6550,3648,1259,4295
Lachnoanaerobaculum umeaense,3820,3038,10483,5370,2007,5731
[Clostridium] hylemonae,3974,2842,6418,6144,2055,5750
[Clostridium] scindens,11076,7543,10240,7710,4712,8837
Lachnoclostridium phocaeense,7342,4867,11116,9701,3242,9074
Lachnoclostridium phytofermentans,3362,2952,13954,5012,1943,4725
Lachnoclostridium sp. YL32,6257,3381,3360,3572,2151,8403
Lachnospira eligens,52418,26061,31072,11797,6967,12327
Lacrimispora saccharolytica,3316,2378,5994,4144,1437,4921
Lacrimispora sphenoides,3269,2476,7263,5539,1543,4919
[Ruminococcus] gnavus,9342,6846,10398,5615,4209,7129
Pseudobutyrivibrio xylanivorans,9361,7728,32376,17216,5410,14490
Roseburia hominis,11986,6701,20530,10188,3981,10888
Roseburia intestinalis,17276,10221,27822,11522,6016,15792
Lachnospiraceae bacterium,4908,3843,10636,4980,2603,5865
Lachnospiraceae bacterium Choco86,9800,7380,11177,6988,4789,8652
Lachnospiraceae bacterium GAM79,26956,12813,47500,21618,10382,25040
Lachnospiraceae bacterium KM106-2,7265,5392,13939,5348,2933,5754
Lachnospiraceae bacterium oral taxon 500,2566,1937,3779,5047,1136,3723
Dysosmobacter welbionis,5750,1959,6600,5343,1162,7164
Oscillibacter sp. PEA192,4796,1283,4667,2661,901,4607
Oscillibacter valericigenes,24086,13429,49848,38769,8829,49468
Dehalobacterium formicoaceticum,940,591,1371,1651,395,1536
Desulfitobacterium hafniense,1095,528,1694,2212,418,2180
Acetoanaerobium sticklandii,909,507,1158,1264,520,1950
Clostridioides difficile,22314,11017,10003,10438,8427,17268
Filifactor alocis,1017,1543,1555,1200,1297,1185
Paeniclostridium sordellii,726,734,1053,1039,1077,1352
Paraclostridium bifermentans,750,836,911,770,1137,1438
Peptacetobacter hiranonis,1307,1091,1864,1313,1146,1666
Peptoclostridium acidaminophilum,1445,854,2122,2435,729,1964
Romboutsia hominis,879,836,843,916,1527,1300
Romboutsia sp. CE17,1275,1092,1357,1259,2089,1990
Peptostreptococcaceae bacterium oral taxon 929,1052,546,1314,2113,594,1477
Caproiciproducens sp. NJN-50,6424,3183,7976,9927,2571,9157
Ethanoligenens harbinense,5593,3240,8244,10571,2305,8740
Faecalibacterium prausnitzii,104787,40980,81030,82751,28248,66136
Flavonifractor plautii,21138,11213,38419,35816,7009,36166
Ruminococcus albus,9323,3987,22389,14075,2794,20936
Ruminococcus bicirculans,9427,3436,15579,8045,3247,8333
Ruminococcus champanellensis,12674,6002,25464,21507,3983,24153
Ruminococcus sp. JE7A12,28265,15418,11270,16344,12080,9141
Ruthenibacterium lactatiformans,15775,7127,19259,26258,5296,21274
[Clostridium] cellulosi,3608,2135,5025,6209,1447,5559
Symbiobacterium thermophilum,1510,768,2329,3050,720,1831
Petrocella atlantisensis,920,689,2048,1636,498,1838
Flintibacter sp. KGMB00164,19335,12978,45003,41898,7997,42405
Intestinimonas butyriciproducens,3119,1276,4042,3997,917,4667
Massilistercora timonensis,4795,3244,8050,8262,2319,7738
Clostridiales bacterium CCNA10,20177,11127,39131,37620,7320,35025
Thermoanaerobacterium sp. RBIITD,612,456,1053,945,691,1333
Thermoanaerobacterium thermosaccharolyticum,676,508,1086,1184,388,1093
[Clostridium] innocuum,1735,760,2050,1241,1234,1376
Erysipelothrix sp. HDW6C,610,469,483,423,420,515
Faecalibaculum rodentium,1823,1260,2259,4146,1135,2160
Faecalitalea cylindroides,5404,4043,2654,3181,4158,4116
Intestinibaculum porci,2368,2816,3560,2366,2274,3521
Longibaculum sp. KGMB06250,14049,1308,1534,1136,3577,5678
Turicibacter sp. H121,830,585,898,659,539,885
Erysipelotrichaceae bacterium GAM147,18621,1265,1065,795,3506,6552
Acidaminococcus fermentans,1783,1062,7998,4364,870,2924
Acidaminococcus intestini,1118,751,2544,2546,467,2198
Megamonas funiformis,1434,836,1352,901,565,1130
Megamonas hypermegale,791,553,1287,854,430,934
Selenomonas ruminantium,3679,2185,6857,6388,1205,4865
Selenomonas sp. oral taxon 126,2292,1058,2746,3375,936,2309
Selenomonas sp. oral taxon 478,974,435,1160,1177,413,689
Selenomonas sp. oral taxon 920,1223,647,1697,1987,505,1336
Selenomonas sputigena,3583,1624,3924,4986,1670,3276
Megasphaera elsdenii,2066,1227,35641,3884,807,2848
Megasphaera stantonii,2307,1460,3172,3884,1029,3446
Veillonella parvula,798,652,7557,665,747,1557
Gottschalkia acidurici,788,583,971,665,418,1107
Finegoldia magna,1243,862,1443,1346,679,2099
Murdochiella vaginalis,994,691,1692,1909,460,1697
Parvimonas micra,1476,787,1329,1259,482,2002
Gudongella oleilytica,1279,687,1339,2831,623,1905
Tissierellia sp. JN-28,1112,662,1397,1518,590,1142
Ndongobacter massiliensis,872,688,1368,2881,429,1716
Fusobacterium nucleatum,1217,992,2134,1517,1107,2608
Fusobacterium ulcerans,549,482,1001,883,543,1061
Fusobacterium varium,764,504,965,883,878,1158
Gemmatirosa kalamazoonesis,1988,856,1190,1988,841,1294
Kiritimatiella glycovorans,2556,993,1238,2384,1240,1507
Kiritimatiellaeota bacterium S-5007,1659,692,1468,1902,658,1445
Victivallales bacterium CCUG 44730,8874,3541,6858,7475,3429,5536
Candidatus Kuenenia stuttgartiensis,1190,550,919,1323,443,853
Limnoglobus roseus,1626,633,801,1531,693,864
Aquisphaera giovannonii,1837,788,1210,1921,865,1492
Paludisphaera borealis,1126,542,697,1254,509,985
Planctomyces sp. SH-PL14,1530,646,920,1551,607,1055
Planctomyces sp. SH-PL62,1008,503,838,1405,478,904
Planctomycetes bacterium ElP,1156,458,694,1418,560,756
Planctomycetes bacterium ETA_A1,1922,728,793,1628,929,1415
Planctomycetes bacterium MalM25,947,443,646,1485,485,764
Planctomycetes bacterium Pla175,1191,551,764,1519,559,1019
Planctomycetes bacterium Poly30,1289,638,877,1488,645,977
Bradyrhizobium erythrophlei,1047,542,903,1649,570,1102
Rhodopseudomonas palustris,2479,1137,2205,3487,1198,2090
Devosia sp. A16,856,470,525,1154,524,559
Methylocystis bryophila,1393,533,530,1086,487,604
Agrobacterium tumefaciens,2486,1275,2553,3401,994,2022
Ensifer adhaerens,1167,517,1149,1578,514,897
Rhizobium leguminosarum,2378,1156,2453,3835,1127,2683
Sinorhizobium fredii,1293,683,1443,1560,611,1155
Pannonibacter phragmitetus,713,459,1156,1166,435,869
Rhodobacter sphaeroides,1347,621,1417,2310,596,1344
Azospirillum brasilense,1781,788,1404,2448,941,1615
Azospirillum lipoferum,1008,462,623,1131,492,685
Achromobacter xylosoxidans,1251,588,1042,2191,670,1203
Burkholderia gladioli,914,456,763,1301,412,850
Cupriavidus pauculus,834,484,831,1228,442,733
Cupriavidus taiwanensis,1707,745,1479,2540,738,1513
Ralstonia solanacearum,1039,487,1132,1096,441,976
Variovorax paradoxus,1856,776,1225,2831,779,1633
Variovorax sp. HW608,1063,476,588,1216,511,776
Sutterella faecalis,1684,779,1204,1826,701,1156
Nitrosomonadales bacterium 0125_3,1130,437,472,1122,537,602
Desulfosarcina ovata,1123,531,1282,1630,529,1109
Desulfobulbus oralis,1035,451,1137,1728,484,1198
Desulfovibrio carbinoliphilus,950,464,1130,1019,406,977
Desulfovibrio desulfuricans,1817,858,3533,3161,754,1944
Desulfovibrio gigas,795,446,1313,2345,466,1106
Desulfovibrio marinus,1218,565,1354,1825,521,1271
Desulfovibrio piger,1546,787,4555,2597,787,1925
Desulfovibrio sp. IOR2,1014,507,1457,2083,481,1379
Desulfovibrio vulgaris,1564,784,3294,2625,738,1918
Desulfuromonas sp. DDH964,1218,612,1199,2671,476,1135
Geobacter sp. FeAm09,1033,510,1322,1990,611,1079
Geobacter sp. M18,1142,476,1357,1564,435,1076
Geobacter sulfurreducens,1075,528,925,1941,488,1088
Anaeromyxobacter dehalogenans,1266,555,991,1546,609,798
Anaeromyxobacter sp. Fw109-5,1866,750,1075,1878,833,1151
Archangium gephyra,1196,606,1208,2241,667,1257
Haliangium ochraceum,1471,645,1409,2347,691,1661
Labilithrix luteola,1559,610,1188,1795,685,1059
Corallococcus coralloides,1505,690,1750,2223,829,1261
Myxococcus xanthus,941,452,1039,1632,546,851
Sorangium cellulosum,6027,2691,3904,7102,2991,4647
Sandaracinus amylolyticus,1695,766,1449,2102,855,1321
Minicystis rosea,2124,914,1424,2336,896,1294
Aeromonas hydrophila,927,457,1373,1549,409,1064
Candidatus Thiodictyon syntrophicum,1307,557,1075,1405,448,905
Escherichia coli,1112,1257,4974,1238,1312,1446
Salmonella enterica,1557,1075,1627,1789,663,1250
Buchnera aphidicola,2809,1980,2682,2727,1210,3790
Serratia marcescens,874,449,1344,1344,391,823
Pseudomonas aeruginosa,1236,581,1296,2102,647,1294
Pseudomonas chlororaphis,984,485,1038,1305,475,1021
Pseudomonas fluorescens,2170,1004,2325,2389,1001,1767
Pseudomonas mendocina,1024,458,939,1531,481,799
Pseudomonas putida,2198,1007,2659,3053,833,2091
Pseudomonas stutzeri,3187,1441,3128,3897,1483,2871
Stenotrophomonas maltophilia,2295,929,2395,3101,903,1914
Turneriella parva,1124,469,554,920,425,566
Spirochaeta thermophila,1064,517,862,1493,527,872
Treponema brennaborense,4467,1354,5683,3075,1076,3370
Treponema succinifaciens,8057,2375,9340,5097,2186,5820
Cloacibacillus porcorum,3084,1266,3336,3666,1252,3369
Acholeplasma palmae,762,610,572,891,491,1361
Ereboglobus luteus,2132,961,1546,2885,944,1476
Lacunisphaera limnophila,1720,776,1687,4228,1065,1388
Nibricoccus aquaticus,1218,520,1031,1858,528,999
Opitutus sp. GAS368,1756,759,1446,2871,948,1422
Opitutus terrae,1914,866,1593,2775,896,1622
Opitutaceae bacterium TAV5,2934,1292,2214,4272,1510,2199
Akkermansia glycaniphila,17333,5465,27078,43966,13158,18534
Akkermansia muciniphila,13394,5163,22129,37978,11388,16059
Luteolibacter sp. G-1-1-1,4781,1763,5541,11023,3186,4858
Roseimicrobium sp. ORNL1,4165,1638,3821,6292,2341,2978
Verrucomicrobium sp. GAS474,2115,995,1547,3001,1112,1745
Verrucomicrobium spinosum,2445,956,3416,4956,1496,2432
Verrucomicrobia bacterium IMCC26134,979,466,1112,1872,408,920
