#OTU_num	A-low-1-1	A-low-1-2	A-low-1-3	A-low-2-1	A-low-2-2	A-low-2-3	A-low-3-1	A-low-3-2	A-low-3-3	A-low-4-1	A-low-4-2	A-low-4-3	A-high-1-1	A-high-1-2	A-high-1-3	A-high-2-1	A-high-2-2	A-high-2-3	A-high-3-1	A-high-3-2	A-high-3-3	A-high-4-1	A-high-4-2	A-high-4-3	B-low-1-1	B-low-1-2	B-low-1-3	B-low-2-1	B-low-2-2	B-low-2-3	B-low-3-1	B-low-3-2	B-low-3-3	B-low-4-1	B-low-4-2	B-low-4-3	B-high-1-1	B-high-1-2	B-high-1-3	B-high-2-1	B-high-2-2	B-high-2-3	B-high-3-1	B-high-3-2	B-high-3-3	B-high-4-1	B-high-4-2	B-high-4-3	C-low-1-1	C-low-1-2	C-low-1-3	C-low-2-1	C-low-2-2	C-low-2-3	C-low-3-1	C-low-3-2	C-low-3-3	C-low-4-1	C-low-4-2	C-low-4-3	C-high-1-1	C-high-1-2	C-high-1-3	C-high-2-1	C-high-2-2	C-high-2-3	C-high-3-1	C-high-3-2	C-high-3-3	C-high-4-1	C-high-4-2	C-high-4-3	D-low-1-1	D-low-1-2	D-low-1-3	D-low-2-1	D-low-2-2	D-low-2-3	D-low-3-1	D-low-3-2	D-low-3-3	D-low-4-1	D-low-4-2	D-low-4-3	D-high-1-1	D-high-1-2	D-high-1-3	D-high-2-1	D-high-2-2	D-high-2-3	D-high-3-1	D-high-3-2	D-high-3-3	D-high-4-1	D-high-4-2	D-high-4-3
OTU_11	0.016788022	0.015124344	0.028455372	0.016701597	0.01747942	0.015729317	0.013028542	0.027223819	0.012553205	0.012488387	0.011278439	0.013352635	0.014389733	0.021433356	0.018214031	0.018602943	0.020871594	0.022362422	0.02419895	0.022859365	0.05978437	0.020590714	0.019856103	0.021627812	0.003154506	0.001404403	0.001447616	0.001296372	0.001209947	0.001512434	0.001361191	0.001317979	0.001750103	0.001296372	0.001015492	0.000993885	0.001814921	0.005055852	0.003456993	0.002376683	0.004688547	0.002657563	0.005055852	0.004580516	0.001944558	0.000410518	0.000972279	0.001058704	0.001685284	0.005077458	0.006114556	0.005142277	0.004018754	0.010695072	0.002549532	0.002419895	0.003197718	0.003608236	0.003673055	0.003003263	0.002463107	0.001512434	0.002398289	0.001771709	0.001490828	0.002873625	0.001101916	0.00296005	0.00341378	0.001663678	0.00233347	0.001901346	0.000302487	0.000280881	0.003629842	0.001447616	0.000432124	0.000885854	0.000993885	0.003392174	0.000583368	0.00079943	0.000194456	0.000259274	0.00045373	0.000950673	0.000669792	0.000734611	0.000583368	0.001642072	0.000259274	0.000302487	0.00079943	0.000151243	0.000194456	0.000216062
OTU_12	0.015815742	0.017457814	0.014540976	0.01890543	0.017803513	0.016118229	0.015642893	0.015210769	0.014778644	0.01281248	0.012380356	0.013849578	0.01594538	0.01326621	0.017155327	0.017220146	0.016636778	0.01765227	0.01685284	0.015189162	0.006589893	0.012618024	0.015210769	0.013352635	0.008296783	0.013806365	0.012790874	0.009333881	0.007000411	0.006957198	0.006200981	0.004645334	0.007454141	0.003975542	0.005596007	0.005552795	0.001317979	0.005768857	0.004796578	0.003565024	0.004364453	0.006676317	0.004969427	0.00717326	0.007194866	0.000410518	0.001123523	0.001058704	0.001209947	0.005423158	0.007994296	0.003024869	0.007108442	0.005790463	0.002873625	0.002419895	0.004278029	0.00250632	0.003867511	0.002074196	0.001101916	0.000950673	0.00205259	0.001534041	0.001814921	0.004148391	0.002311864	0.002009377	0.003953936	0.001793315	0.002614351	0.00341378	0.000540155	0.001037098	0.003456993	0.00142601	0.001037098	0.000864248	0.000756217	0.001447616	0.001209947	0.002873625	0.000669792	0.001037098	0.000648186	0.000950673	0.003737874	0.000691399	0.001145129	0.001145129	0.000367305	0.00125316	0.001274766	0.000410518	0.000950673	0.000540155
OTU_13	0.003456993	0.004148391	0.004494091	0.004126785	0.00546637	0.004558909	0.004969427	0.004537303	0.005423158	0.005271914	0.004926215	0.004602122	0.001836527	0.003068081	0.002895232	0.002808807	0.003370568	0.003478599	0.003889117	0.004364453	0.002743988	0.003305749	0.004148391	0.003867511	0.003889117	0.005898494	0.005379945	0.005768857	0.005401551	0.00296005	0.002355076	0.002700776	0.002830413	0.001966165	0.002398289	0.002376683	0.002247045	0.003975542	0.003176112	0.002441501	0.003543418	0.002938444	0.002571138	0.0031329	0.003781086	0.000950673	0.001037098	0.00125316	0.005379945	0.012942117	0.017284964	0.016939265	0.011300045	0.00825357	0.010349372	0.009636368	0.014152064	0.006827561	0.013374241	0.008577664	0.01075989	0.014389733	0.018473306	0.014605795	0.011861807	0.016701597	0.014260095	0.013136573	0.0153188	0.01514595	0.016053411	0.012704449	0.002268652	0.004991033	0.008901757	0.01030616	0.004558909	0.00609295	0.007022017	0.00563922	0.0062658	0.01110559	0.008707301	0.005228702	0.00609295	0.014432945	0.01281248	0.007778234	0.006827561	0.011364864	0.004256422	0.013936002	0.005358339	0.002700776	0.005207095	0.004105179
OTU_14	0.005444764	0.00501264	0.005487976	0.006157769	0.005876888	0.007756628	0.00734611	0.005099064	0.009744399	0.013309422	0.014195277	0.013028542	0.00142601	0.002830413	0.001922952	0.003046475	0.003240931	0.002225439	0.00375948	0.003111294	0.007086835	0.004753365	0.003802692	0.004602122	0.007259685	0.007843053	0.008059115	0.008707301	0.008923363	0.009096212	0.008988181	0.005725644	0.007194866	0.006481862	0.006136162	0.007065229	0.000604974	0.000734611	0.000821036	0.000864248	0.001598859	0.00125316	0.001123523	0.001814921	0.001534041	0.000345699	0.000669792	0.000432124	0.000669792	0.001015492	0.000864248	0.001490828	0.001901346	0.001058704	0.002009377	0.000496943	0.001447616	0.001037098	0.00108031	0.000604974	0.000475337	0.000129637	0.000496943	0.001188341	0.000648186	0.001317979	0.001037098	0.00045373	0.000691399	0.001015492	0.001231554	0.00125316	0.000259274	0.000432124	0.000540155	0.001058704	0.000388912	0.001166735	0.000691399	0.001447616	0.000691399	0.001685284	0.000432124	0.000604974	0.000540155	0.000410518	0.000713005	0.000540155	0.00045373	0.000777823	0.000151243	0.000475337	0.000496943	0.000324093	0.00079943	0.000194456
OTU_15	0.003781086	0.004407666	0.002765594	0.00341378	0.002873625	0.003197718	0.003197718	0.001922952	0.00233347	0.002527926	0.003392174	0.002981656	0.002376683	0.002117408	0.002938444	0.003154506	0.003305749	0.00404036	0.003305749	0.002635957	0.004796578	0.002830413	0.002117408	0.002527926	0.010997558	0.006028131	0.006892379	0.008296783	0.007929477	0.008059115	0.009766005	0.008577664	0.005725644	0.006697924	0.003953936	0.007022017	0.007929477	0.006417043	0.0059201	0.010608647	0.00421321	0.009636368	0.010219735	0.005984919	0.009182637	0.001814921	0.001642072	0.002225439	0.001663678	0.004558909	0.004947821	0.004083573	0.00546637	0.004083573	0.004947821	0.004602122	0.003435387	0.006568286	0.004796578	0.004321241	0.004494091	0.005185489	0.005336733	0.009917248	0.006438649	0.003068081	0.005379945	0.005163883	0.004169998	0.006352224	0.005531189	0.006741136	0.000950673	0.001534041	0.002527926	0.001922952	0.000929067	0.001490828	0.001274766	0.001361191	0.001101916	0.002635957	0.000972279	0.001469222	0.001642072	0.003543418	0.003024869	0.003565024	0.002895232	0.004753365	0.001015492	0.002895232	0.001274766	0.001037098	0.001922952	0.00062658
OTU_16	0.030507962	0.041959251	0.030659205	0.038459045	0.040619666	0.043795778	0.043406866	0.038480652	0.044984119	0.031393816	0.033748893	0.032150033	0.010068492	0.01577253	0.014454551	0.01873258	0.017630664	0.02061232	0.023053821	0.022427241	0.011408076	0.018819005	0.021195687	0.020245014	0.013179785	0.016874446	0.016183048	0.009960461	0.008123933	0.010587041	0.009917248	0.009096212	0.012682843	0.007713415	0.009593155	0.008361601	0.002268652	0.004904609	0.003154506	0.003500205	0.00296005	0.006849167	0.004429272	0.004061967	0.00483979	0.000713005	0.001469222	0.001188341	0.003867511	0.007194866	0.008750513	0.007065229	0.00985243	0.005250308	0.007410928	0.006417043	0.007475747	0.007086835	0.007130048	0.004796578	0.005271914	0.006028131	0.005596007	0.004537303	0.005574401	0.004904609	0.007324504	0.00501264	0.007605384	0.004472484	0.00563922	0.005034246	0.000972279	0.001966165	0.00341378	0.004061967	0.00233347	0.003197718	0.003068081	0.003262537	0.002203833	0.003716267	0.002419895	0.002009377	0.00170689	0.003694661	0.004602122	0.003154506	0.002635957	0.005984919	0.001598859	0.003003263	0.001858134	0.00108031	0.001836527	0.00062658
OTU_17	0.000194456	0.000151243	0.000194456	0.000129637	0.000324093	0.00017285	0.000518549	0.000475337	0.000388912	0.00045373	0.000324093	0.000367305	0.000496943	0.000345699	0.000518549	0.000237668	0.000280881	0.000259274	0.000216062	0.00017285	0.00017285	0.000216062	0.000540155	0.000410518	0.007518959	0.009139425	0.008145539	0.002484714	0.003111294	0.007194866	0.003219325	0.007410928	0.005250308	0.008210358	0.007454141	0.007843053	0.004580516	0.003889117	0.001966165	0.003262537	0.004169998	0.002981656	0.006114556	0.005271914	0.006373831	0.001382797	0.002268652	0.002873625	0.002225439	0.002203833	0.001296372	0.002614351	0.00296005	0.001534041	0.001447616	0.001771709	0.001642072	0.002290258	0.002203833	0.003651449	0.0062658	0.00404036	0.004278029	0.003435387	0.004299635	0.002635957	0.003910723	0.004169998	0.0027872	0.00296005	0.003521811	0.003305749	0.00108031	0.00125316	0.000540155	0.000734611	0.000972279	0.000950673	0.000929067	0.000842642	0.00108031	0.001274766	0.001663678	0.002268652	0.00108031	0.002203833	0.000540155	0.001663678	0.000777823	0.002679169	0.000691399	0.001296372	0.000842642	0.000821036	0.001317979	0.000496943
OTU_18	0.000216062	0.000151243	0.000129637	0.000216062	0.000129637	0.000108031	0.000302487	2.16E-05	0.000280881	0.000237668	0.000324093	0.000151243	0.000129637	0.000129637	0.00017285	8.64E-05	0.000129637	0.000108031	0.00017285	0.000194456	0.000129637	0.000216062	0.000280881	0.000194456	0.060778256	0.018473306	0.012704449	0.01514595	0.054037119	0.007907871	0.004969427	0.002463107	0.042693862	0.007194866	0.008448026	0.00404036	0.001404403	0.006006525	0.007281291	0.006330618	0.00501264	0.007389322	0.00358663	0.011213621	0.017436208	0.001987771	0.002527926	0.003392174	0.003845905	0.004105179	0.003824298	0.006849167	0.011494501	0.002873625	0.002700776	0.003370568	0.003953936	0.00375948	0.004796578	0.019640041	0.003781086	0.013417453	0.010219735	0.01013331	0.010284554	0.005833675	0.013633516	0.007886265	0.008772119	0.010068492	0.014130458	0.012337143	0.00062658	0.001123523	0.000669792	0.000864248	0.000410518	0.001750103	0.000864248	0.000734611	0.000864248	0.001339585	0.000583368	0.000280881	0.000604974	0.000713005	0.00125316	0.003262537	0.003997148	0.003240931	0.001274766	0.000885854	0.000561761	0.000713005	0.001490828	0.001555647
OTU_19	0.002419895	0.001814921	0.0027872	0.001534041	0.001642072	0.001577253	0.001339585	0.002895232	0.001577253	0.001123523	0.000950673	0.001166735	0.001836527	0.003716267	0.002700776	0.001987771	0.002160621	0.002614351	0.002095802	0.001728496	0.006805955	0.002463107	0.001922952	0.001987771	0.001274766	0.000885854	0.00045373	0.001793315	0.00108031	0.001750103	0.001274766	0.000713005	0.000993885	0.001058704	0.000885854	0.000907461	0.000950673	0.002268652	0.001123523	0.000972279	0.001296372	0.000885854	0.001361191	0.001447616	0.001274766	0.000345699	0.000540155	0.000518549	0.001858134	0.003370568	0.004883002	0.005812069	0.004083573	0.005401551	0.007778234	0.005207095	0.007259685	0.007713415	0.007367716	0.005812069	0.003824298	0.003046475	0.002549532	0.005574401	0.002311864	0.003154506	0.003262537	0.004537303	0.004278029	0.002852019	0.002679169	0.003154506	0.000432124	0.001058704	0.0027872	0.002247045	0.000950673	0.00142601	0.001512434	0.005055852	0.001188341	0.002743988	0.001404403	0.002117408	0.000475337	0.001145129	0.001209947	0.003716267	0.002830413	0.005574401	0.000777823	0.00142601	0.001469222	0.000410518	0.000194456	0.000388912
OTU_20	0.000129637	0	6.48E-05	6.48E-05	0.000194456	0	0	8.64E-05	6.48E-05	0	6.48E-05	8.64E-05	0.000216062	0.000280881	0.000929067	6.48E-05	0.000734611	0.000410518	8.64E-05	2.16E-05	0.00017285	0.000151243	0.000108031	8.64E-05	0.00438606	0.004148391	0.003716267	0.016744809	0.016204654	0.003478599	0.004947821	0.003889117	0.017047296	0.002657563	0.002852019	0.015102738	0.003500205	0.004537303	0.011170408	0.009657974	0.005423158	0.008577664	0.019380766	0.012401962	0.017609057	0.000604974	0.000194456	0.007497353	0.000583368	0.002376683	0.00404036	0.002830413	0.003651449	0.002441501	0.002765594	0.00546637	0.003716267	0.001166735	0.001166735	0.004602122	0.004234816	0.009312274	0.004126785	0.013914396	0.009009788	0.000972279	0.004537303	0.00859927	0.013547091	0.001339585	0.002030983	0.003111294	0.000216062	0.00045373	0.000540155	0.001166735	0.000691399	0.000842642	0.000713005	0.001944558	0.001534041	0.000324093	0.000518549	0.000734611	0.001555647	0.000756217	0.001469222	0.005358339	0.00466694	0.002916838	0.000950673	0.002916838	0.002376683	0.000388912	0.000280881	0.000345699
OTU_21	0.002419895	0.002571138	0.001642072	0.001382797	0.001382797	0.002376683	0.002290258	0.001339585	0.001642072	0.001555647	0.003176112	0.002117408	0.001685284	0.001663678	0.002182227	0.002247045	0.001966165	0.0027872	0.002355076	0.001274766	0.000496943	0.001987771	0.002808807	0.002441501	0.009269062	0.00762699	0.01155932	0.004731759	0.006049737	0.005704038	0.002419895	0.006330618	0.004861396	0.003219325	0.003889117	0.003651449	0.003824298	0.004126785	0.002182227	0.003024869	0.002700776	0.005336733	0.004602122	0.00341378	0.005812069	0.000432124	0.000756217	0.000864248	0.003608236	0.004494091	0.004083573	0.004321241	0.007605384	0.003802692	0.003910723	0.005358339	0.005271914	0.004342847	0.004364453	0.00501264	0.007130048	0.008339995	0.006157769	0.004472484	0.007216473	0.004623728	0.005747251	0.005984919	0.006330618	0.003608236	0.004861396	0.004947821	0.001296372	0.001685284	0.001750103	0.002830413	0.002765594	0.002203833	0.001728496	0.001663678	0.001987771	0.002376683	0.001836527	0.001944558	0.002030983	0.003046475	0.003305749	0.003392174	0.003240931	0.005207095	0.00170689	0.00358663	0.002182227	0.001231554	0.002139014	0.000561761
