	A-low-1-1	A-low-1-2	A-low-1-3	A-low-2-1	A-low-2-2	A-low-2-3	A-low-3-1	A-low-3-2	A-low-3-3	A-low-4-1	A-low-4-2	A-low-4-3	A-high-1-1	A-high-1-2	A-high-1-3	A-high-2-1	A-high-2-2	A-high-2-3	A-high-3-1	A-high-3-2	A-high-3-3	A-high-4-1	A-high-4-2	A-high-4-3	B-low-1-1	B-low-1-2	B-low-1-3	B-low-2-1	B-low-2-2	B-low-2-3	B-low-3-1	B-low-3-2	B-low-3-3	B-low-4-1	B-low-4-2	B-low-4-3	B-high-1-1	B-high-1-2	B-high-1-3	B-high-2-1	B-high-2-2	B-high-2-3	B-high-3-1	B-high-3-2	B-high-3-3	B-high-4-1	B-high-4-2	B-high-4-3	C-low-1-1	C-low-1-2	C-low-1-3	C-low-2-1	C-low-2-2	C-low-2-3	C-low-3-1	C-low-3-2	C-low-3-3	C-low-4-1	C-low-4-2	C-low-4-3	C-high-1-1	C-high-1-2	C-high-1-3	C-high-2-1	C-high-2-2	C-high-2-3	C-high-3-1	C-high-3-2	C-high-3-3	C-high-4-1	C-high-4-2	C-high-4-3	D-low-1-1	D-low-1-2	D-low-1-3	D-low-2-1	D-low-2-2	D-low-2-3	D-low-3-1	D-low-3-2	D-low-3-3	D-low-4-1	D-low-4-2	D-low-4-3	D-high-1-1	D-high-1-2	D-high-1-3	D-high-2-1	D-high-2-2	D-high-2-3	D-high-3-1	D-high-3-2	D-high-3-3	D-high-4-1	D-high-4-2	D-high-4-3
A-low-4-2	0.265150485	0.243781446	0.269104361	0.261067133	0.278351849	0.26344352	0.213921247	0.237451271	0.195101759	0.139011228	0	0.14000482	0.417304751	0.342955977	0.360025463	0.337683816	0.323877409	0.319793549	0.287578688	0.292310192	0.456520677	0.252791879	0.256896876	0.243738721	0.49619024	0.494332175	0.48149775	0.534908603	0.546144945	0.510645278	0.538906876	0.533094506	0.524624646	0.574450083	0.573974536	0.563732562	0.74723688	0.608717822	0.709555565	0.673170374	0.639031915	0.614119862	0.623021468	0.595063177	0.58412985	0.889945735	0.838220152	0.840078914	0.743498802	0.627493339	0.580606444	0.640608862	0.578813293	0.552605039	0.590028075	0.600744404	0.595709647	0.576695951	0.549493128	0.592750843	0.650546828	0.662495566	0.626218289	0.648991308	0.666644385	0.672391026	0.60644828	0.612648851	0.591475057	0.622070023	0.576479937	0.58270283	0.885667334	0.848224335	0.768259047	0.758384698	0.84459427	0.804406991	0.811213377	0.76953441	0.836729581	0.730534019	0.824435612	0.795375743	0.838242751	0.772666547	0.752702436	0.749807257	0.77057108	0.678267949	0.866697289	0.779300167	0.821260274	0.876074478	0.833207538	0.898436791
A-low-4-3	0.254368623	0.240259184	0.258690003	0.249593641	0.270897673	0.259402987	0.208303507	0.236565106	0.190866931	0.150375935	0.14000482	0	0.403346816	0.330489132	0.348767977	0.317805907	0.310459687	0.303372303	0.274160785	0.27906512	0.440164058	0.257480549	0.255989249	0.241318252	0.494980483	0.492949517	0.485473292	0.533871176	0.54093747	0.513972617	0.539835769	0.539079283	0.530782368	0.580154442	0.583546073	0.569091033	0.752184719	0.613968062	0.712256128	0.678269138	0.64246742	0.615221928	0.624101476	0.595927145	0.590719713	0.892862405	0.839970431	0.843816932	0.749505809	0.630215942	0.579850613	0.646053831	0.577365692	0.559173146	0.597115411	0.60759365	0.601738208	0.585079368	0.559756608	0.60247378	0.657115356	0.671527181	0.635033855	0.654025644	0.673860733	0.676798808	0.616257695	0.62014668	0.596725588	0.627212672	0.587974735	0.59238282	0.887093269	0.850147283	0.773487583	0.764607651	0.850298312	0.808404207	0.816160855	0.773121101	0.839970423	0.735395605	0.829232105	0.801295996	0.841311133	0.780315138	0.760264605	0.758601427	0.775627356	0.687321249	0.870888856	0.78716487	0.824457887	0.880330695	0.839041324	0.900770332
A-high-1-1	0.328890723	0.345959487	0.35352167	0.344814756	0.35302467	0.370655987	0.359161667	0.381437996	0.370007607	0.417758566	0.417304751	0.403346816	0	0.308536916	0.278784468	0.277725662	0.297711976	0.292612535	0.323121318	0.325649078	0.467734404	0.354644993	0.343885074	0.343841892	0.516824888	0.528060321	0.524127775	0.549211967	0.559108943	0.540159992	0.578187183	0.576329319	0.556969697	0.617706478	0.612606895	0.606059753	0.752163589	0.603057242	0.707179104	0.679565729	0.646292091	0.621077288	0.631232343	0.607876106	0.603122224	0.898631175	0.850212192	0.849477866	0.754669725	0.631663506	0.580196172	0.639506842	0.582054481	0.547829829	0.600053567	0.614831992	0.593851658	0.59804349	0.573282294	0.617620196	0.659146528	0.679478592	0.636654752	0.644108506	0.664505336	0.666341451	0.621854058	0.617899278	0.591410262	0.642812283	0.604698302	0.605130629	0.887374447	0.849737076	0.767416551	0.762187734	0.853669191	0.808814947	0.817781573	0.765601818	0.843211369	0.736907968	0.831846446	0.804364234	0.843731004	0.789411819	0.756397244	0.767114886	0.776405056	0.694667546	0.871839833	0.790967886	0.826251378	0.883442063	0.846344412	0.904075936
A-high-1-2	0.229888753	0.27562993	0.233648122	0.27096279	0.279021873	0.287016302	0.29118709	0.290344174	0.297668986	0.347255812	0.342955977	0.330489132	0.308536916	0	0.168936108	0.176368965	0.165305807	0.167012829	0.212257424	0.216859472	0.383360549	0.232740322	0.269255483	0.236694959	0.48543028	0.472920288	0.473308943	0.505588536	0.519569377	0.507339273	0.531646714	0.546663217	0.525790916	0.588083743	0.596509954	0.571532554	0.73719023	0.580694259	0.696635031	0.65869413	0.628834093	0.594479546	0.615696858	0.588559367	0.580478471	0.89288381	0.841936772	0.842628657	0.748468666	0.607421464	0.545971597	0.614335476	0.548434909	0.521339892	0.571143727	0.582832495	0.568658852	0.566929889	0.543875337	0.592383764	0.63203051	0.66307919	0.617445982	0.621529511	0.642531473	0.654328217	0.598756192	0.579871774	0.567945386	0.613621719	0.579461612	0.578078852	0.884436252	0.844940563	0.753566818	0.75434487	0.849045551	0.802052403	0.814194948	0.75402124	0.838220499	0.726472221	0.827503739	0.799546077	0.840900702	0.774849274	0.745075502	0.752443964	0.7647161	0.675092332	0.869700611	0.782303866	0.816355694	0.880222753	0.843211402	0.901807237
A-high-1-3	0.230687783	0.268888288	0.249096677	0.277639334	0.283883067	0.308860802	0.30544712	0.319944808	0.314391993	0.36261831	0.360025463	0.348767977	0.278784468	0.168936108	0	0.149727045	0.173235646	0.174358776	0.2290676	0.234361006	0.407862362	0.249420273	0.283775063	0.254908783	0.481281793	0.475188962	0.470067722	0.497745118	0.516652057	0.50312602	0.538258234	0.55100619	0.524279089	0.590763177	0.597396018	0.574859935	0.742635065	0.579830076	0.698795706	0.659752788	0.628315737	0.592599773	0.616150846	0.590461048	0.580694456	0.896578719	0.847965107	0.847230936	0.745659768	0.602775989	0.544458942	0.613384914	0.550465637	0.513280574	0.572699315	0.582119647	0.56818313	0.568744772	0.544566856	0.589510142	0.631641408	0.657180383	0.612390089	0.620881347	0.640543744	0.648602579	0.597006153	0.58188091	0.56522316	0.614961068	0.576372155	0.575464916	0.886272516	0.844940358	0.751427895	0.752616063	0.847230615	0.800885585	0.811343125	0.754906894	0.837766623	0.727185568	0.826423356	0.797839108	0.83962587	0.7737473	0.741488868	0.747863373	0.757996576	0.670576669	0.869614167	0.778090518	0.81562118	0.879920478	0.843535555	0.902304525
A-high-2-1	0.220446144	0.251041033	0.236824091	0.255319531	0.268412796	0.285979336	0.278590183	0.296782922	0.289284901	0.340881845	0.337683816	0.317805907	0.277725662	0.176368965	0.149727045	0	0.163102056	0.161092185	0.213056945	0.223470773	0.402568546	0.239783747	0.263594334	0.235051915	0.472984374	0.464839096	0.461381398	0.492623846	0.505481319	0.497313724	0.538625347	0.550055601	0.518984876	0.589596275	0.593852195	0.57198593	0.742375657	0.583394909	0.698449924	0.662863639	0.628877167	0.591346227	0.612412163	0.588991502	0.581947294	0.896881128	0.843514034	0.845826305	0.74706402	0.60329409	0.546165798	0.615220983	0.545431059	0.519070791	0.575313563	0.581384602	0.570819246	0.57107827	0.546295113	0.590935919	0.634017925	0.657807137	0.61305992	0.621680503	0.643935476	0.651475993	0.596962843	0.586418053	0.564185471	0.617207969	0.577624737	0.576976714	0.885192176	0.846258335	0.755705744	0.754279891	0.848980467	0.802808221	0.812487803	0.757197103	0.838155625	0.728719114	0.827438631	0.800258724	0.83921501	0.775021821	0.742482543	0.752076478	0.763959807	0.674335674	0.869246874	0.780531977	0.817414266	0.880114722	0.84092109	0.902001866
A-high-2-2	0.225955986	0.253893141	0.231530659	0.264653813	0.27608296	0.287254471	0.277142621	0.288788132	0.286757012	0.332866103	0.323877409	0.310459687	0.297711976	0.165305807	0.173235646	0.163102056	0	0.154285999	0.195426072	0.202059016	0.386795747	0.218890259	0.25471421	0.216340786	0.471321223	0.461684841	0.462548803	0.490658533	0.50805303	0.488628276	0.518251079	0.528254858	0.509499958	0.572419208	0.579938029	0.55688358	0.735202355	0.578296004	0.692702795	0.651563804	0.618808724	0.584670369	0.603726894	0.578533999	0.568940763	0.88888715	0.838242407	0.836924928	0.7380759	0.601803527	0.54199581	0.608955562	0.54123997	0.515182109	0.559455082	0.575054549	0.565093583	0.560210857	0.53568684	0.579808969	0.621659384	0.649856192	0.607593764	0.618483072	0.636481829	0.647997577	0.58981149	0.575421186	0.563213921	0.605044158	0.564834578	0.565871769	0.882340381	0.841289094	0.748251829	0.748986488	0.843363315	0.796261923	0.806524662	0.751406691	0.832321931	0.720336414	0.819595818	0.790212211	0.833597592	0.766833315	0.737211047	0.742375558	0.755382617	0.663597733	0.86330536	0.772214019	0.8100037	0.874000383	0.834677281	0.897464865
A-high-2-3	0.211501135	0.235095655	0.227922017	0.236996941	0.252682961	0.267267723	0.261887925	0.269623397	0.273555278	0.322710858	0.319793549	0.303372303	0.292612535	0.167012829	0.174358776	0.161092185	0.154285999	0	0.177081661	0.188533372	0.391009226	0.23114118	0.242376281	0.217723947	0.478753235	0.468728291	0.468922399	0.504658921	0.516997606	0.500749292	0.533116098	0.542017654	0.521383054	0.58620402	0.591216169	0.568420905	0.737838146	0.577906724	0.695533122	0.657851127	0.626176378	0.587954547	0.606081866	0.581710143	0.57758295	0.893964588	0.84131044	0.843514666	0.745162503	0.603013443	0.543724396	0.610748709	0.540569826	0.516694121	0.567686578	0.578100683	0.562846344	0.566454527	0.53827888	0.590050122	0.632332453	0.656834636	0.611633837	0.616041248	0.639398042	0.647219311	0.591712617	0.579785014	0.561074616	0.610963821	0.573065989	0.573066085	0.883226437	0.844702758	0.752810633	0.751082104	0.847576266	0.801015156	0.80926887	0.753308131	0.836535394	0.722410199	0.824673369	0.794252584	0.83692521	0.771024812	0.741705181	0.747798789	0.761605025	0.67122497	0.867540358	0.777399548	0.815167635	0.878364756	0.840488913	0.900662503
A-high-3-1	0.232222476	0.243004032	0.231142227	0.242291062	0.262146958	0.270163508	0.257956022	0.256853929	0.263875895	0.291057486	0.287578688	0.274160785	0.323121318	0.212257424	0.2290676	0.213056945	0.195426072	0.177081661	0	0.140696331	0.383036762	0.207158578	0.215541606	0.189441026	0.496860129	0.49027035	0.489600306	0.524148286	0.537502106	0.516911515	0.53871235	0.549558805	0.530933796	0.590504167	0.593960426	0.571186575	0.742440695	0.589617719	0.69937915	0.666407796	0.635121695	0.601329168	0.61234799	0.586830912	0.584648876	0.893316252	0.840402819	0.841440438	0.751666322	0.617165765	0.555565051	0.62248115	0.555845852	0.536140516	0.57553036	0.590567862	0.576825891	0.576069641	0.550228068	0.60439717	0.641429238	0.671289656	0.624100855	0.626844573	0.650871443	0.658476383	0.604244107	0.588860134	0.573995344	0.616538933	0.583459028	0.585727726	0.887331118	0.848678249	0.759940502	0.756332452	0.85111938	0.805898062	0.81486466	0.759854898	0.838436612	0.72632147	0.829037609	0.800755795	0.840922079	0.778003633	0.749180649	0.759444245	0.772386226	0.684944757	0.869225359	0.784226614	0.820352573	0.880266187	0.842887325	0.902239615
A-high-3-2	0.242982444	0.255729872	0.236694455	0.249096902	0.265560618	0.277703596	0.266318016	0.2606569	0.269558326	0.295162625	0.292310192	0.27906512	0.325649078	0.216859472	0.234361006	0.223470773	0.202059016	0.188533372	0.140696331	0	0.395460261	0.208671058	0.212581274	0.193848629	0.49651435	0.487655862	0.488649362	0.521058451	0.535665474	0.516370666	0.537977337	0.545345442	0.529766702	0.590136526	0.591907661	0.570991986	0.739847803	0.584259004	0.699508644	0.66541343	0.631902014	0.602387295	0.606362655	0.580478702	0.579484446	0.892754472	0.837594104	0.840986377	0.748598138	0.614162173	0.54975257	0.617640914	0.550854497	0.525941805	0.569890517	0.587132126	0.568896162	0.572655441	0.542708647	0.599557095	0.63818815	0.669020866	0.618655871	0.624878223	0.647759849	0.655343244	0.598993689	0.586547874	0.568507558	0.614313114	0.578230006	0.581147307	0.885494703	0.845502064	0.758211806	0.754754983	0.849261312	0.803888525	0.812315063	0.757132421	0.836362339	0.724225267	0.826099067	0.798184587	0.839193527	0.775734865	0.749029127	0.757456239	0.769620691	0.679716037	0.86797195	0.781871553	0.817867847	0.878559022	0.841007581	0.900899693
A-high-3-3	0.40991484	0.432602221	0.397815202	0.415467921	0.417671765	0.430419501	0.421517998	0.406522909	0.433552486	0.454576427	0.456520677	0.440164058	0.467734404	0.383360549	0.407862362	0.402568546	0.386795747	0.391009226	0.383036762	0.395460261	0	0.416354192	0.43294743	0.404837919	0.573260897	0.598973037	0.596509702	0.60141352	0.602365254	0.582011432	0.593484803	0.611418032	0.602581276	0.63391104	0.647133819	0.623344895	0.759833397	0.64523277	0.72608442	0.698039037	0.674898904	0.660379433	0.649057191	0.635596726	0.635682748	0.898307002	0.85133527	0.850709213	0.777961069	0.670598919	0.621810494	0.664678585	0.616840895	0.614312638	0.611202191	0.635379337	0.627406629	0.613923746	0.590696493	0.640868232	0.672045444	0.702359809	0.670727736	0.636675383	0.689633433	0.693349295	0.647717109	0.632202675	0.635444452	0.662063534	0.638318236	0.627255488	0.897594037	0.860453662	0.776145319	0.782454585	0.866568118	0.824457664	0.83359739	0.767308675	0.853927946	0.751773202	0.845998705	0.81894813	0.85814245	0.801792184	0.779041032	0.77614556	0.786538472	0.70745844	0.883334314	0.806178912	0.838999076	0.889189422	0.861879114	0.910233552
